column_name,data_type,is_nullable,column_default
id,uuid,NO,null
cat_membr,character varying,YES,null
lote1,character varying,YES,null
lote2,character varying,YES,null
lote3,character varying,YES,null
serial1,character varying,YES,null
serial2,character varying,YES,null
serial3,character varying,YES,null
poro_cat_membr,character varying,YES,null
fabri,character varying,YES,null
tipo,character varying,YES,null
cat_disp,character varying,YES,null
poro_cat_disp,character varying,YES,null
lote_disp,character varying,YES,null
fabri_disp,character varying,YES,null
serial_cat_disp,character varying,YES,null
linha_cat_disp,character varying,YES,null
produto,character varying,YES,null
temp_filtra,character varying,YES,null
manu_temp,character varying,YES,null
tmp_contato,character varying,YES,null
id_sala,character varying,YES,null
sala_temp,character varying,YES,null
sala_tempf,character varying,YES,null
sala_umid,character varying,YES,null
sala_umidf,character varying,YES,null
pi_memb_1,character varying,YES,null
pi_memb_2,character varying,YES,null
pi_memb_3,character varying,YES,null
pf_memb_1,character varying,YES,null
pf_memb_2,character varying,YES,null
pf_memb_3,character varying,YES,null
fli_memb_1,character varying,YES,null
fli_memb_2,character varying,YES,null
fli_memb_3,character varying,YES,null
flf_memb_1,character varying,YES,null
flf_memb_2,character varying,YES,null
flf_memb_3,character varying,YES,null
pb_padrao,character varying,YES,null
pb_estimado,character varying,YES,null
crit_var_peso,character varying,YES,null
crit_var_vazao,character varying,YES,null
memb_1_fr,character varying,YES,null
memb_2_fr,character varying,YES,null
memb_3_fr,character varying,YES,null
id_1_fr,character varying,YES,null
id_2_fr,character varying,YES,null
id_3_fr,character varying,YES,null
memb_1_pr,character varying,YES,null
memb_2_pr,character varying,YES,null
memb_3_pr,character varying,YES,null
id_1_pr,character varying,YES,null
id_2_pr,character varying,YES,null
id_3_pr,character varying,YES,null
pb_prod,character varying,YES,null
fp_memb_1,character varying,YES,null
fp_memb_2,character varying,YES,null
fp_memb_3,character varying,YES,null
dt_inicial,character varying,YES,null
hr_inicial,character varying,YES,null
dt_final,character varying,YES,null
hr_final,character varying,YES,null
